ts,cpu_percent_lag_0,cpu_percent_lag_1,cpu_percent_lag_3,cpu_percent_lag_5,cpu_percent_lag_10,cpu_percent_lag_20,cpu_percent_roll_mean,cpu_percent_roll_std,cpu_percent_roll_max,cpu_percent_roll_min,cpu_percent_delta,cpu_percent_ewma_fast,cpu_percent_ewma_slow,cpu_percent_trend,cpu_percent_headroom,cpu_percent_level_x_vol,cpu_percent_slope_x_vol,cpu_percent_steps_to_saturation,cpu_percent_zscore_local,mem_percent_now,disk_percent_now,hour,minute,second_of_minute,dayofweek,__target__
2026-07-17 15:20:37,3.6,4.0,11.7,10.9,18.7,61.1,11.8,7.4266786355379795,25.3,3.6,-0.3999999999999999,4.9340576171875,12.134924169033294,-7.2008665518457935,96.4,26.736043087936725,-2.970671454215191,1928.0,-1.1041274844937468,70.5,85.8,15.0,20.0,37.0,4.0,4.4
2026-07-17 15:20:40,4.4,3.6,5.3,11.1,25.3,63.3,9.709999999999999,6.011368858717315,23.7,3.6,0.8000000000000003,4.66702880859375,10.728574320118149,-6.061545511524399,95.6,26.450022978356188,4.809095086973854,119.49999999999996,-0.8833262647491287,70.5,85.8,15.0,20.0,40.0,4.0,3.9
2026-07-17 15:20:43,3.9,4.4,4.0,11.7,23.7,63.0,7.7299999999999995,3.7127557899162125,11.7,3.6,-0.5000000000000004,4.283514404296875,9.487015352823938,-5.203500948527063,96.1,14.479747580673228,-1.8563778949581078,1921.9999999999998,-1.031578756244141,70.5,85.8,15.0,20.0,43.0,4.0,0.2
2026-07-17 15:20:46,0.2,3.9,3.6,5.3,11.5,42.2,6.6,4.133602141796848,11.7,0.2,-3.6999999999999997,2.2417572021484378,7.798467106855949,-5.55670990470751,99.8,0.8267204283593697,-15.294327924648336,1995.9999999999998,-1.5482864050428338,70.5,85.8,15.0,20.0,46.0,4.0,3.6
2026-07-17 15:20:49,3.6,0.2,4.4,4.0,10.9,34.8,5.869999999999999,3.929390679368997,11.7,0.2,3.4,2.920878601074219,7.035109451063957,-4.114230849989738,96.4,14.14580644572839,13.35992830985459,28.35294117647059,-0.577697710721024,70.7,85.8,15.0,20.0,49.0,4.0,1.4
2026-07-17 15:20:52,1.4,3.6,3.9,3.6,10.9,36.0,4.92,3.7210512254231434,11.7,0.2,-2.2,2.160439300537109,6.010544096325056,-3.8501047957879466,98.6,5.2094717155924,-8.186312695930916,1971.9999999999998,-0.9459692400766989,70.6,85.8,15.0,20.0,52.0,4.0,0.3
2026-07-17 15:20:55,0.3,1.4,0.2,4.4,11.1,38.8,3.84,3.267754920771002,11.7,0.2,-1.0999999999999999,1.2302196502685545,4.972263351538682,-3.742043701270127,99.7,0.9803264762313006,-3.594530412848102,1994.0,-1.0833125757071047,70.7,85.8,15.0,20.0,55.0,4.0,0.9
2026-07-17 15:20:58,0.9,0.3,3.6,3.9,11.7,41.1,2.7600000000000002,1.8649992552875514,5.3,0.2,0.6000000000000001,1.0651098251342772,4.231851833077103,-3.166742007942826,99.1,1.6784993297587962,1.118999553172531,165.16666666666663,-0.9973194330917948,70.6,85.8,15.0,20.0,58.0,4.0,4.6
2026-07-17 15:21:01,4.6,0.9,1.4,0.2,5.3,20.2,2.6900000000000004,1.769777136001031,4.6,0.2,3.6999999999999997,2.8325549125671383,4.29878786342672,-1.466232950859582,95.4,8.140974825604742,6.548175403203814,25.783783783783786,1.0792319333019604,70.6,85.8,15.0,21.0,1.0,4.0,5.2
2026-07-17 15:21:04,5.2,4.6,0.3,3.6,4.0,22.7,2.81,1.9040599897181136,5.2,0.2,0.6000000000000005,4.01627745628357,4.4626446155309525,-0.4463671592473828,94.8,9.901111946534192,1.1424359938308692,157.99999999999986,1.255212552601259,70.8,85.8,15.0,21.0,4.0,4.0,5.4
