ts,disk_percent_lag_0,disk_percent_lag_1,disk_percent_lag_3,disk_percent_lag_5,disk_percent_lag_10,disk_percent_lag_20,disk_percent_roll_mean,disk_percent_roll_std,disk_percent_roll_max,disk_percent_roll_min,disk_percent_delta,disk_percent_ewma_fast,disk_percent_ewma_slow,disk_percent_trend,disk_percent_headroom,disk_percent_level_x_vol,disk_percent_slope_x_vol,disk_percent_steps_to_saturation,disk_percent_zscore_local,cpu_percent_now,mem_percent_now,hour,minute,second_of_minute,dayofweek,__target__
2026-07-17 15:20:37,85.8,85.8,85.8,85.8,85.8,85.8,85.8,0.0,85.8,85.8,0.0,85.8,85.8,0.0,14.200000000000003,0.0,0.0,284.00000000000006,0.0,3.6,70.5,15.0,20.0,37.0,4.0,85.8
2026-07-17 15:20:40,85.8,85.8,85.8,85.8,85.8,85.8,85.8,0.0,85.8,85.8,0.0,85.8,85.8,0.0,14.200000000000003,0.0,0.0,284.00000000000006,0.0,4.4,70.5,15.0,20.0,40.0,4.0,85.8
2026-07-17 15:20:43,85.8,85.8,85.8,85.8,85.8,85.8,85.8,0.0,85.8,85.8,0.0,85.8,85.8,0.0,14.200000000000003,0.0,0.0,284.00000000000006,0.0,3.9,70.5,15.0,20.0,43.0,4.0,85.8
2026-07-17 15:20:46,85.8,85.8,85.8,85.8,85.8,85.8,85.8,0.0,85.8,85.8,0.0,85.8,85.8,0.0,14.200000000000003,0.0,0.0,284.00000000000006,0.0,0.2,70.5,15.0,20.0,46.0,4.0,85.8
2026-07-17 15:20:49,85.8,85.8,85.8,85.8,85.8,85.8,85.8,0.0,85.8,85.8,0.0,85.8,85.8,0.0,14.200000000000003,0.0,0.0,284.00000000000006,0.0,3.6,70.7,15.0,20.0,49.0,4.0,85.8
2026-07-17 15:20:52,85.8,85.8,85.8,85.8,85.8,85.8,85.8,0.0,85.8,85.8,0.0,85.8,85.8,0.0,14.200000000000003,0.0,0.0,284.00000000000006,0.0,1.4,70.6,15.0,20.0,52.0,4.0,85.8
2026-07-17 15:20:55,85.8,85.8,85.8,85.8,85.8,85.8,85.8,0.0,85.8,85.8,0.0,85.8,85.8,0.0,14.200000000000003,0.0,0.0,284.00000000000006,0.0,0.3,70.7,15.0,20.0,55.0,4.0,85.8
2026-07-17 15:20:58,85.8,85.8,85.8,85.8,85.8,85.8,85.8,0.0,85.8,85.8,0.0,85.8,85.8,0.0,14.200000000000003,0.0,0.0,284.00000000000006,0.0,0.9,70.6,15.0,20.0,58.0,4.0,85.8
2026-07-17 15:21:01,85.8,85.8,85.8,85.8,85.8,85.8,85.8,0.0,85.8,85.8,0.0,85.8,85.8,0.0,14.200000000000003,0.0,0.0,284.00000000000006,0.0,4.6,70.6,15.0,21.0,1.0,4.0,85.8
2026-07-17 15:21:04,85.8,85.8,85.8,85.8,85.8,85.8,85.8,0.0,85.8,85.8,0.0,85.8,85.8,0.0,14.200000000000003,0.0,0.0,284.00000000000006,0.0,5.2,70.8,15.0,21.0,4.0,4.0,85.8
2026-07-17 15:21:07,85.8,85.8,85.8,85.8,85.8,85.8,85.8,0.0,85.8,85.8,0.0,85.8,85.8,0.0,14.200000000000003,0.0,0.0,284.00000000000006,0.0,5.4,70.9,15.0,21.0,7.0,4.0,85.8
2026-07-17 15:21:10,85.8,85.8,85.8,85.8,85.8,85.8,85.8,0.0,85.8,85.8,0.0,85.8,85.8,0.0,14.200000000000003,0.0,0.0,284.00000000000006,0.0,4.3,71.6,15.0,21.0,10.0,4.0,85.8
2026-07-17 15:21:13,85.8,85.8,85.8,85.8,85.8,85.8,85.8,0.0,85.8,85.8,0.0,85.8,85.8,0.0,14.200000000000003,0.0,0.0,284.00000000000006,0.0,3.6,72.3,15.0,21.0,13.0,4.0,85.8
2026-07-17 15:21:16,85.8,85.8,85.8,85.8,85.8,85.8,85.8,0.0,85.8,85.8,0.0,85.8,85.8,0.0,14.200000000000003,0.0,0.0,284.00000000000006,0.0,13.2,72.4,15.0,21.0,16.0,4.0,85.8
2026-07-17 15:21:19,85.8,85.8,85.8,85.8,85.8,85.8,85.8,0.0,85.8,85.8,0.0,85.8,85.8,0.0,14.200000000000003,0.0,0.0,284.00000000000006,0.0,13.0,72.4,15.0,21.0,19.0,4.0,85.8
2026-07-17 15:21:22,85.8,85.8,85.8,85.8,85.8,85.8,85.8,0.0,85.8,85.8,0.0,85.8,85.8,0.0,14.200000000000003,0.0,0.0,284.00000000000006,0.0,14.7,71.4,15.0,21.0,22.0,4.0,85.8
2026-07-17 15:21:25,85.8,85.8,85.8,85.8,85.8,85.8,85.8,0.0,85.8,85.8,0.0,85.8,85.8,0.0,14.200000000000003,0.0,0.0,284.00000000000006,0.0,14.0,70.5,15.0,21.0,25.0,4.0,85.8
2026-07-17 15:21:28,85.8,85.8,85.8,85.8,85.8,85.8,85.8,0.0,85.8,85.8,0.0,85.8,85.8,0.0,14.200000000000003,0.0,0.0,284.00000000000006,0.0,14.4,70.5,15.0,21.0,28.0,4.0,85.8
2026-07-17 15:21:31,85.8,85.8,85.8,85.8,85.8,85.8,85.8,0.0,85.8,85.8,0.0,85.8,85.8,0.0,14.200000000000003,0.0,0.0,284.00000000000006,0.0,26.1,70.4,15.0,21.0,31.0,4.0,85.8
2026-07-17 15:21:34,85.8,85.8,85.8,85.8,85.8,85.8,85.8,0.0,85.8,85.8,0.0,85.8,85.8,0.0,14.200000000000003,0.0,0.0,284.00000000000006,0.0,26.7,70.7,15.0,21.0,34.0,4.0,85.8
2026-07-17 15:21:37,85.8,85.8,85.8,85.8,85.8,85.8,85.8,0.0,85.8,85.8,0.0,85.8,85.8,0.0,14.200000000000003,0.0,0.0,284.00000000000006,0.0,29.2,71.3,15.0,21.0,37.0,4.0,85.8
2026-07-17 15:21:40,85.8,85.8,85.8,85.8,85.8,85.8,85.8,0.0,85.8,85.8,0.0,85.8,85.8,0.0,14.200000000000003,0.0,0.0,284.00000000000006,0.0,20.4,72.0,15.0,21.0,40.0,4.0,85.8
2026-07-17 15:21:43,85.8,85.8,85.8,85.8,85.8,85.8,85.8,0.0,85.8,85.8,0.0,85.8,85.8,0.0,14.200000000000003,0.0,0.0,284.00000000000006,0.0,20.6,72.3,15.0,21.0,43.0,4.0,85.8
2026-07-17 15:21:46,85.8,85.8,85.8,85.8,85.8,85.8,85.8,0.0,85.8,85.8,0.0,85.8,85.8,0.0,14.200000000000003,0.0,0.0,284.00000000000006,0.0,40.8,72.5,15.0,21.0,46.0,4.0,85.8
2026-07-17 15:21:49,85.8,85.8,85.8,85.8,85.8,85.8,85.8,0.0,85.8,85.8,0.0,85.8,85.8,0.0,14.200000000000003,0.0,0.0,284.00000000000006,0.0,41.6,70.8,15.0,21.0,49.0,4.0,85.8
2026-07-17 15:21:52,85.8,85.8,85.8,85.8,85.8,85.8,85.8,0.0,85.8,85.8,0.0,85.8,85.8,0.0,14.200000000000003,0.0,0.0,284.00000000000006,0.0,42.0,70.7,15.0,21.0,52.0,4.0,85.8
2026-07-17 15:21:55,85.8,85.8,85.8,85.8,85.8,85.8,85.8,0.0,85.8,85.8,0.0,85.8,85.8,0.0,14.200000000000003,0.0,0.0,284.00000000000006,0.0,43.1,70.7,15.0,21.0,55.0,4.0,85.8
2026-07-17 15:21:58,85.8,85.8,85.8,85.8,85.8,85.8,85.8,0.0,85.8,85.8,0.0,85.8,85.8,0.0,14.200000000000003,0.0,0.0,284.00000000000006,0.0,40.2,70.9,15.0,21.0,58.0,4.0,85.8
2026-07-17 15:22:01,85.8,85.8,85.8,85.8,85.8,85.8,85.8,0.0,85.8,85.8,0.0,85.8,85.8,0.0,14.200000000000003,0.0,0.0,284.00000000000006,0.0,62.3,70.8,15.0,22.0,1.0,4.0,85.8
2026-07-17 15:22:04,85.8,85.8,85.8,85.8,85.8,85.8,85.8,0.0,85.8,85.8,0.0,85.8,85.8,0.0,14.200000000000003,0.0,0.0,284.00000000000006,0.0,61.4,70.8,15.0,22.0,4.0,4.0,85.8
2026-07-17 15:22:07,85.8,85.8,85.8,85.8,85.8,85.8,85.8,0.0,85.8,85.8,0.0,85.8,85.8,0.0,14.200000000000003,0.0,0.0,284.00000000000006,0.0,62.1,70.8,15.0,22.0,7.0,4.0,85.8
2026-07-17 15:22:10,85.8,85.8,85.8,85.8,85.8,85.8,85.8,0.0,85.8,85.8,0.0,85.8,85.8,0.0,14.200000000000003,0.0,0.0,284.00000000000006,0.0,62.1,70.8,15.0,22.0,10.0,4.0,85.8
2026-07-17 15:22:13,85.8,85.8,85.8,85.8,85.8,85.8,85.8,0.0,85.8,85.8,0.0,85.8,85.8,0.0,14.200000000000003,0.0,0.0,284.00000000000006,0.0,59.4,70.8,15.0,22.0,13.0,4.0,85.8
