ts,segment_id,cpu_percent,mem_percent,mem_used_mb,disk_percent,disk_used_gb,regime,is_imputed,is_outlier
2026-07-17 15:00:26,0,4.4,71.5,11476.1,86.1,266.7,idle,0,0
2026-07-17 15:00:29,0,3.1,69.8,11205.79,86.1,266.7,idle,0,0
2026-07-17 15:00:32,0,3.05,70.19999999999999,11273.215,85.85,265.945,idle,1,0
2026-07-17 15:00:35,0,3.0,70.6,11340.64,85.6,265.19,idle,0,0
2026-07-17 15:00:38,0,3.45,70.65,11342.849999999999,85.6,265.19,idle,1,0
2026-07-17 15:00:41,0,3.9,70.7,11345.06,85.6,265.19,idle,0,0
2026-07-17 15:00:44,0,3.2,71.4,11457.66,85.6,265.19,idle,0,0
2026-07-17 15:00:47,0,4.45,71.95,11549.59,85.6,265.19,idle,1,0
2026-07-17 15:00:50,0,5.7,72.5,11641.52,85.6,265.19,idle,0,0
2026-07-17 15:00:53,0,4.55,72.4,11623.64,85.6,265.19,idle,1,0
2026-07-17 15:00:56,0,3.4,72.3,11605.76,85.6,265.19,idle,0,0
2026-07-17 15:00:59,0,5.0,72.6,11651.05,85.7,265.41,idle,0,0
2026-07-17 15:01:02,0,3.5,71.25,11438.92,85.7,265.41,idle,1,0
2026-07-17 15:01:05,0,2.0,69.9,11226.79,85.7,265.41,idle,0,0
2026-07-17 15:01:08,0,2.3,69.9,11221.04,85.7,265.41,idle,1,0
2026-07-17 15:01:11,0,2.6,69.9,11215.29,85.7,265.41,idle,0,0
2026-07-17 15:01:14,0,5.5,69.9,11225.76,85.7,265.41,idle,0,0
2026-07-17 15:01:17,0,4.8,69.9,11219.66,85.7,265.41,idle,1,0
2026-07-17 15:01:20,0,4.1,69.9,11213.56,85.7,265.41,idle,0,0
2026-07-17 15:01:23,0,4.199999999999999,69.85,11208.555,85.7,265.41,idle,1,0
2026-07-17 15:01:26,0,4.3,69.8,11203.55,85.7,265.41,idle,0,0
2026-07-17 15:17:37,1,0.8,70.1,11261.12,85.8,265.71,idle,0,0
2026-07-17 15:17:40,1,0.5,70.4,11297.25,85.8,265.71,idle,0,0
2026-07-17 15:17:43,1,20.4,70.7,11345.04,85.8,265.71,ramp,1,0
2026-07-17 15:17:46,1,40.3,71.0,11392.83,85.8,265.71,ramp,0,0
2026-07-17 15:17:49,1,40.9,70.9,11377.605,85.8,265.71,ramp,1,0
2026-07-17 15:17:52,1,41.5,70.8,11362.38,85.8,265.71,ramp,0,0
2026-07-17 15:17:55,1,30.5,70.69999999999999,11350.645,85.8,265.71,ramp,1,0
2026-07-17 15:17:58,1,19.5,70.6,11338.91,85.8,265.71,ramp,0,1
2026-07-17 15:18:01,1,40.15,70.8,11372.02,85.8,265.71,ramp,1,0
2026-07-17 15:18:04,1,60.8,71.0,11405.13,85.8,265.71,ramp,0,0
2026-07-17 15:18:07,1,62.6,71.0,11392.49,85.8,265.71,ramp,0,0
2026-07-17 15:18:10,1,61.45,71.25,11438.115,85.8,265.71,ramp,1,0
2026-07-17 15:18:13,1,60.3,71.5,11483.74,85.8,265.71,ramp,0,0
2026-07-17 15:18:16,1,71.1,71.7,11511.875,85.8,265.71,ramp,1,0
2026-07-17 15:18:19,1,81.9,71.9,11540.01,85.8,265.71,saturated,0,0
2026-07-17 15:18:22,1,75.6,72.0,11553.04,85.8,265.71,ramp,0,0
2026-07-17 15:18:25,1,77.0,72.1,11571.995,85.8,265.71,ramp,1,0
2026-07-17 15:18:28,1,78.4,72.2,11590.95,85.8,265.71,ramp,0,0
2026-07-17 15:18:31,1,86.05000000000001,72.35,11612.065,85.8,265.71,saturated,1,0
2026-07-17 15:18:34,1,93.7,72.5,11633.18,85.8,265.71,saturated,0,0
2026-07-17 15:18:37,1,94.1,73.4,11777.34,85.8,265.71,saturated,0,1
2026-07-17 15:19:37,2,61.1,73.5,11791.64,85.8,265.71,ramp,0,0
2026-07-17 15:19:40,2,63.3,73.5,11794.19,85.8,265.71,ramp,0,0
2026-07-17 15:19:43,2,63.0,74.2,11910.74,85.8,265.71,ramp,0,0
2026-07-17 15:19:46,2,42.2,71.7,11507.32,85.8,265.71,ramp,0,0
2026-07-17 15:19:49,2,34.8,72.2,11595.41,85.8,265.71,ramp,0,0
2026-07-17 15:19:52,2,36.0,72.7,11663.74,85.8,265.71,ramp,0,0
2026-07-17 15:19:55,2,38.8,72.8,11679.54,85.8,265.71,ramp,0,0
2026-07-17 15:19:58,2,41.1,72.9,11701.89,85.8,265.71,ramp,0,0
2026-07-17 15:20:01,2,20.2,72.8,11683.75,85.8,265.71,ramp,0,0
2026-07-17 15:20:04,2,22.7,73.2,11746.37,85.8,265.71,ramp,0,1
2026-07-17 15:20:07,2,18.7,72.4,11620.88,85.8,265.71,ramp,0,0
2026-07-17 15:20:10,2,25.3,72.3,11611.62,85.8,265.72,ramp,0,0
2026-07-17 15:20:13,2,23.7,72.4,11622.33,85.8,265.71,ramp,0,0
2026-07-17 15:20:16,2,11.5,72.3,11607.82,85.8,265.71,idle,0,0
2026-07-17 15:20:19,2,10.9,72.3,11613.03,85.8,265.71,idle,0,0
