cpu_percent,disk_percent,disk_used_gb,id,mem_percent,mem_used_mb,ts
4.4,86.1,266.7,1,71.5,11476.1,2026-07-17T15:00:26
3.1,86.1,266.7,2,69.8,11205.79,2026-07-17T15:00:31
3.0,85.6,265.19,3,70.6,11340.64,2026-07-17T15:00:36
3.9,85.6,265.19,4,70.7,11345.06,2026-07-17T15:00:41
3.2,85.6,265.19,5,71.4,11457.66,2026-07-17T15:00:46
5.7,85.6,265.19,6,72.5,11641.52,2026-07-17T15:00:51
3.4,85.6,265.19,7,72.3,11605.76,2026-07-17T15:00:56
5.0,85.7,265.41,8,72.6,11651.05,2026-07-17T15:01:01
2.0,85.7,265.41,9,69.9,11226.79,2026-07-17T15:01:06
2.6,85.7,265.41,10,69.9,11215.29,2026-07-17T15:01:11
5.5,85.7,265.41,11,69.9,11225.76,2026-07-17T15:01:16
4.1,85.7,265.41,12,69.9,11213.56,2026-07-17T15:01:21
4.3,85.7,265.41,13,69.8,11203.55,2026-07-17T15:01:26
0.8,85.8,265.71,14,70.1,11261.12,2026-07-17T15:17:37
0.5,85.8,265.71,15,70.4,11297.25,2026-07-17T15:17:42
40.3,85.8,265.71,16,71.0,11392.83,2026-07-17T15:17:47
41.5,85.8,265.71,17,70.8,11362.38,2026-07-17T15:17:53
19.5,85.8,265.71,18,70.6,11338.91,2026-07-17T15:17:59
60.8,85.8,265.71,19,71.0,11405.13,2026-07-17T15:18:04
62.6,85.8,265.71,20,71.0,11392.49,2026-07-17T15:18:09
60.3,85.8,265.71,21,71.5,11483.74,2026-07-17T15:18:14
81.9,85.8,265.71,22,71.9,11540.01,2026-07-17T15:18:19
75.6,85.8,265.71,23,72.0,11553.04,2026-07-17T15:18:24
78.4,85.8,265.71,24,72.2,11590.95,2026-07-17T15:18:29
93.7,85.8,265.71,25,72.5,11633.18,2026-07-17T15:18:34
94.1,85.8,265.71,26,73.4,11777.34,2026-07-17T15:18:39
61.1,85.8,265.71,27,73.5,11791.64,2026-07-17T15:19:37
63.3,85.8,265.71,28,73.5,11794.19,2026-07-17T15:19:40
63.0,85.8,265.71,29,74.2,11910.74,2026-07-17T15:19:43
42.2,85.8,265.71,30,71.7,11507.32,2026-07-17T15:19:46
34.8,85.8,265.71,31,72.2,11595.41,2026-07-17T15:19:49
36.0,85.8,265.71,32,72.7,11663.74,2026-07-17T15:19:52
38.8,85.8,265.71,33,72.8,11679.54,2026-07-17T15:19:55
41.1,85.8,265.71,34,72.9,11701.89,2026-07-17T15:19:58
20.2,85.8,265.71,35,72.8,11683.75,2026-07-17T15:20:01
22.7,85.8,265.71,36,73.2,11746.37,2026-07-17T15:20:04
18.7,85.8,265.71,37,72.4,11620.88,2026-07-17T15:20:07
25.3,85.8,265.72,38,72.3,11611.62,2026-07-17T15:20:10
23.7,85.8,265.71,39,72.4,11622.33,2026-07-17T15:20:13
11.5,85.8,265.71,40,72.3,11607.82,2026-07-17T15:20:16
10.9,85.8,265.71,41,72.3,11613.03,2026-07-17T15:20:19
10.9,85.8,265.71,42,72.3,11607.43,2026-07-17T15:20:22
