ts,column_name,mean,max,p95,samples
2026-07-17T15:00:00,cpu_percent,3.9333333333333336,5.7,5.3149999999999995,12
2026-07-17T15:00:00,disk_percent,85.71249999999999,86.1,86.1,12
2026-07-17T15:00:00,disk_used_gb,265.5229166666667,266.7,266.7,12
2026-07-17T15:00:00,mem_percent,71.38333333333334,72.6,72.545,12
2026-07-17T15:00:00,mem_used_mb,11459.40625,11651.05,11645.8085,12
2026-07-17T15:01:00,cpu_percent,3.6999999999999997,5.5,5.22,9
2026-07-17T15:01:00,disk_percent,85.7,85.7,85.7,9
2026-07-17T15:01:00,disk_used_gb,265.41,265.41,265.41,9
2026-07-17T15:01:00,mem_percent,70.03333333333335,71.25,70.71000000000001,9
2026-07-17T15:01:00,mem_used_mb,11241.458333333334,11438.92,11354.068000000001,9
2026-07-17T15:17:00,cpu_percent,24.3,41.5,41.29,8
2026-07-17T15:17:00,disk_percent,85.8,85.8,85.8,8
2026-07-17T15:17:00,disk_used_gb,265.71,265.71,265.71,8
2026-07-17T15:17:00,mem_percent,70.65,71.0,70.965,8
2026-07-17T15:17:00,mem_used_mb,11340.7225,11392.83,11387.50125,8
2026-07-17T15:18:00,cpu_percent,72.55,94.1,93.86,13
2026-07-17T15:18:00,disk_percent,85.79999999999998,85.8,85.8,13
2026-07-17T15:18:00,disk_used_gb,265.71,265.71,265.71,13
2026-07-17T15:18:00,mem_percent,71.82307692307693,73.4,72.86,13
2026-07-17T15:18:00,mem_used_mb,11529.380769230771,11777.34,11690.844,13
2026-07-17T15:19:00,cpu_percent,47.5375,63.3,63.195,8
2026-07-17T15:19:00,disk_percent,85.8,85.8,85.8,8
2026-07-17T15:19:00,disk_used_gb,265.71,265.71,265.71,8
2026-07-17T15:19:00,mem_percent,72.9375,74.2,73.955,8
2026-07-17T15:19:00,mem_used_mb,11705.55875,11910.74,11869.9475,8
2026-07-17T15:20:00,cpu_percent,9.715,25.3,23.78,20
2026-07-17T15:20:00,disk_percent,85.8,85.8,85.8,20
2026-07-17T15:20:00,disk_used_gb,265.712,265.72,265.72,20
2026-07-17T15:20:00,mem_percent,71.53,73.2,72.82,20
2026-07-17T15:20:00,mem_used_mb,11482.4675,11746.37,11686.881,20
2026-07-17T15:21:00,cpu_percent,21.155,43.1,42.055,20
2026-07-17T15:21:00,disk_percent,85.8,85.8,85.8,20
2026-07-17T15:21:00,disk_used_gb,265.713,265.72,265.72,20
2026-07-17T15:21:00,mem_percent,71.285,72.5,72.405,20
2026-07-17T15:21:00,mem_used_mb,11443.5965,11639.25,11625.5415,20
2026-07-17T15:22:00,cpu_percent,82.1875,100.0,100.0,20
2026-07-17T15:22:00,disk_percent,85.8,85.8,85.8,20
2026-07-17T15:22:00,disk_used_gb,265.72,265.72,265.72,20
2026-07-17T15:22:00,mem_percent,70.92999999999999,71.1,71.005,20
2026-07-17T15:22:00,mem_used_mb,11390.458,11408.15,11403.3145,20
2026-07-17T15:23:00,cpu_percent,69.57000000000001,93.7,92.56,20
2026-07-17T15:23:00,disk_percent,85.8,85.8,85.8,20
2026-07-17T15:23:00,disk_used_gb,265.72,265.72,265.72,20
2026-07-17T15:23:00,mem_percent,70.77000000000001,71.1,71.005,20
2026-07-17T15:23:00,mem_used_mb,11363.804,11410.79,11400.4255,20
2026-07-17T15:24:00,cpu_percent,10.48,26.9,26.330000000000002,20
2026-07-17T15:24:00,disk_percent,85.8,85.8,85.8,20
2026-07-17T15:24:00,disk_used_gb,265.72,265.72,265.72,20
2026-07-17T15:24:00,mem_percent,70.46000000000001,70.9,70.615,20
2026-07-17T15:24:00,mem_used_mb,11310.0245,11375.1,11343.009,20
2026-07-17T15:25:00,cpu_percent,22.235,46.8,46.135000000000005,20
2026-07-17T15:25:00,disk_percent,85.8,85.8,85.8,20
2026-07-17T15:25:00,disk_used_gb,265.72,265.72,265.72,20
2026-07-17T15:25:00,mem_percent,70.295,70.7,70.7,20
2026-07-17T15:25:00,mem_used_mb,11282.4655,11346.2,11343.787,20
2026-07-17T15:26:00,cpu_percent,81.9825,100.0,100.0,20
2026-07-17T15:26:00,disk_percent,85.8,85.8,85.8,20
2026-07-17T15:26:00,disk_used_gb,265.72,265.72,265.72,20
2026-07-17T15:26:00,mem_percent,70.1725,70.5,70.405,20
2026-07-17T15:26:00,mem_used_mb,11265.49425,11319.91,11299.2285,20
2026-07-17T15:27:00,cpu_percent,63.317499999999995,97.4,95.12,20
2026-07-17T15:27:00,disk_percent,85.8,85.8,85.8,20
2026-07-17T15:27:00,disk_used_gb,265.72825,265.73,265.73,20
2026-07-17T15:27:00,mem_percent,70.755,74.6,74.125,20
2026-07-17T15:27:00,mem_used_mb,11359.78025,11968.34,11904.386,20
2026-07-17T15:28:00,cpu_percent,11.98,27.4,27.4,20
2026-07-17T15:28:00,disk_percent,85.7,85.7,85.7,20
2026-07-17T15:28:00,disk_used_gb,265.58,265.58,265.58,20
2026-07-17T15:28:00,mem_percent,68.115,68.3,68.3,20
2026-07-17T15:28:00,mem_used_mb,10936.08375,10962.25,10962.1075,20
